Service Name,Departure Time,Arrival Time,Bus Type,Available Seats,Ticket Rate
"

2159MNGBNG

",21:59,06:30,"
			NON AC SLEEPER","
				27Seats
			","
				702"
"

2021MNPBNG

",22:30,06:30,"
			NON AC SLEEPER","
				23Seats
			","
				702"
"

2244MNGBNG

",22:44,06:45,"
			NON AC SLEEPER","
				27Seats
			","
				702"
"

2045CDPBNG

",23:10,07:45,"
			NON AC SLEEPER","
				29Seats
			","
				702"
"

1901MRDBNG

",23:20,09:00,"
			NON AC SLEEPER","
				29Seats
			","
				702"
"

0745MNGBNG

",07:45,05:00,"
			RAJAHAMSA EXECUTIVE","
				32Seats
			","
				598"
"

2100MNGBNG

",21:00,05:30,"
			RAJAHAMSA EXECUTIVE","
				30Seats
			","
				598"
"

2120MNGKGF

",21:20,05:50,"
			RAJAHAMSA EXECUTIVE","
				36Seats
			","
				605"
"

1900CDPBNG

",22:00,06:00,"
			RAJAHAMSA EXECUTIVE","
				31Seats
			","
				611"
"

1956CDPBNG

",23:00,06:30,"
			RAJAHAMSA EXECUTIVE","
				34Seats
			","
				611"
